binomial,genus,family,fossilArea,Area,taxon
Allobates olfersioides,Allobates,AROMOBATIDAE,10654.39943,256943.1015,Amphibian
Allobates ornatus,Allobates,AROMOBATIDAE,0,86.74281506,Amphibian
Allobates paleovarzensis,Allobates,AROMOBATIDAE,1003.701286,5802.332558,Amphibian
Allobates picachos,Allobates,AROMOBATIDAE,0,358.9000533,Amphibian
Allobates pittieri,Allobates,AROMOBATIDAE,2.15635e-4,12229.72515,Amphibian
Allobates ranoides,Allobates,AROMOBATIDAE,0,10.09365301,Amphibian
Allobates sanmartini,Allobates,AROMOBATIDAE,0,301.8115387,Amphibian
Allobates spumaponens,Allobates,AROMOBATIDAE,0,75.72367563,Amphibian
Allobates subfolionidificans,Allobates,AROMOBATIDAE,0,179.0349577,Amphibian
Allobates sumtuosus,Allobates,AROMOBATIDAE,39885.76518,157729.9409,Amphibian
Allobates talamancae,Allobates,AROMOBATIDAE,7244.816249,117497.1007,Amphibian
Allobates trilineatus,Allobates,AROMOBATIDAE,308567.5621,796759.0117,Amphibian
Allobates undulatus,Allobates,AROMOBATIDAE,0,244.2889775,Amphibian
Allobates vanzolinius,Allobates,AROMOBATIDAE,0,92625.61115,Amphibian
Allobates wayuu,Allobates,AROMOBATIDAE,5.013947758,267.1726652,Amphibian
Allobates zaparo,Allobates,AROMOBATIDAE,0,47502.84636,Amphibian
Allopaa hazarensis,Allopaa,DICROGLOSSIDAE,767.1228171,42117.10668,Amphibian
Allophryne ruthveni,Allophryne,ALLOPHRYNIDAE,142138.2905,3054812.798,Amphibian
Alsodes australis,Alsodes,ALSODIDAE,4434.457851,104051.7755,Amphibian
Alsodes barrioi,Alsodes,ALSODIDAE,0,2257.331172,Amphibian
Alsodes cantillanensis,Alsodes,ALSODIDAE,0,17.05780456,Amphibian
Alsodes coppingeri,Alsodes,ALSODIDAE,4.061699257,304.6604853,Amphibian
Alsodes gargola,Alsodes,ALSODIDAE,0,2443.344068,Amphibian
Alsodes hugoi,Alsodes,ALSODIDAE,0,116.1532252,Amphibian
Alsodes igneus,Alsodes,ALSODIDAE,0,66.23098268,Amphibian
Alsodes kaweshkari,Alsodes,ALSODIDAE,0,100.1784924,Amphibian
Alsodes montanus,Alsodes,ALSODIDAE,0,5165.24333,Amphibian
Alsodes monticola,Alsodes,ALSODIDAE,0,65.10030345,Amphibian
Alsodes neuquensis,Alsodes,ALSODIDAE,0,1415.736865,Amphibian
Alsodes nodosus,Alsodes,ALSODIDAE,1345.270886,40420.2978,Amphibian
Alsodes norae,Alsodes,ALSODIDAE,0,81.61517822,Amphibian
Alsodes pehuenche,Alsodes,ALSODIDAE,0,5.872545026,Amphibian
Alsodes tumultuosus,Alsodes,ALSODIDAE,0,51.67997224,Amphibian
Alsodes valdiviensis,Alsodes,ALSODIDAE,0,951.3602619,Amphibian
Alsodes vanzolinii,Alsodes,ALSODIDAE,0,1065.631786,Amphibian
Alsodes verrucosus,Alsodes,ALSODIDAE,0,388.6754355,Amphibian
Alsodes vittatus,Alsodes,ALSODIDAE,0,171.4891512,Amphibian
Altiphrynoides malcolmi,Altiphrynoides,BUFONIDAE,0,629.8546827,Amphibian
Altiphrynoides osgoodi,Altiphrynoides,BUFONIDAE,0,55.80125536,Amphibian
Alytes cisternasii,Alytes,ALYTIDAE,804.728393,168715.772,Amphibian
Alytes dickhilleni,Alytes,ALYTIDAE,0,30785.83229,Amphibian
Alytes maurus,Alytes,ALYTIDAE,0,5263.745906,Amphibian
Alytes muletensis,Alytes,ALYTIDAE,0,228.5124544,Amphibian
Alytes obstetricans,Alytes,ALYTIDAE,19382.93077,990106.5283,Amphibian
Amazophrynella bokermanni,Amazophrynella,BUFONIDAE,2049.416458,18070.17492,Amphibian
Amazophrynella minuta,Amazophrynella,BUFONIDAE,353165.6286,5165165.076,Amphibian
Ambystoma altamirani,Ambystoma,AMBYSTOMATIDAE,0,661.8248036,Amphibian
Ambystoma amblycephalum,Ambystoma,AMBYSTOMATIDAE,0,18.40075801,Amphibian
Ambystoma andersoni,Ambystoma,AMBYSTOMATIDAE,0,0.191689058,Amphibian
Ambystoma annulatum,Ambystoma,AMBYSTOMATIDAE,0,140915.727,Amphibian
Ambystoma barbouri,Ambystoma,AMBYSTOMATIDAE,0,69055.99023,Amphibian
Ambystoma bishopi,Ambystoma,AMBYSTOMATIDAE,2180.882047,28405.30067,Amphibian
Ambystoma californiense,Ambystoma,AMBYSTOMATIDAE,3925.721295,17504.50426,Amphibian
Ambystoma cingulatum,Ambystoma,AMBYSTOMATIDAE,3132.31892,92474.78069,Amphibian
Ambystoma dumerilii,Ambystoma,AMBYSTOMATIDAE,0,5.531051687,Amphibian
Ambystoma flavipiperatum,Ambystoma,AMBYSTOMATIDAE,0,225.5744997,Amphibian
Ambystoma gracile,Ambystoma,AMBYSTOMATIDAE,3794.348979,350874.0493,Amphibian
Ambystoma granulosum,Ambystoma,AMBYSTOMATIDAE,142.5063639,5989.727031,Amphibian
Ambystoma jeffersonianum,Ambystoma,AMBYSTOMATIDAE,64.94292972,470695.7537,Amphibian
Ambystoma laterale,Ambystoma,AMBYSTOMATIDAE,2897.175587,1977060.304,Amphibian
Ambystoma leorae,Ambystoma,AMBYSTOMATIDAE,0,10.13705578,Amphibian
Ambystoma lermaense,Ambystoma,AMBYSTOMATIDAE,28.0759206,298.9818579,Amphibian
Ambystoma mabeei,Ambystoma,AMBYSTOMATIDAE,9105.152234,112023.4383,Amphibian
Ambystoma macrodactylum,Ambystoma,AMBYSTOMATIDAE,15531.05288,1443221.836,Amphibian
Ambystoma maculatum,Ambystoma,AMBYSTOMATIDAE,87821.92503,3105957.232,Amphibian
Ambystoma mavortium,Ambystoma,AMBYSTOMATIDAE,194358.2734,3680170.88,Amphibian
Ambystoma mexicanum,Ambystoma,AMBYSTOMATIDAE,10.80142967,32.18059204,Amphibian
Ambystoma opacum,Ambystoma,AMBYSTOMATIDAE,127467.6477,1683642.481,Amphibian
Ambystoma ordinarium,Ambystoma,AMBYSTOMATIDAE,3.503345797,3394.33222,Amphibian
Ambystoma rivulare,Ambystoma,AMBYSTOMATIDAE,0,424.4975512,Amphibian
Ambystoma rosaceum,Ambystoma,AMBYSTOMATIDAE,1681.145732,162904.4346,Amphibian
Ambystoma silvense,Ambystoma,AMBYSTOMATIDAE,0,1144.659945,Amphibian
Ambystoma talpoideum,Ambystoma,AMBYSTOMATIDAE,72406.39975,678159.6411,Amphibian
Ambystoma taylori,Ambystoma,AMBYSTOMATIDAE,0,2.35608588,Amphibian
Ambystoma texanum,Ambystoma,AMBYSTOMATIDAE,133637.2449,1389177.981,Amphibian
Ambystoma tigrinum,Ambystoma,AMBYSTOMATIDAE,421388.5216,5146485.551,Amphibian
Ambystoma velasci,Ambystoma,AMBYSTOMATIDAE,34114.54381,399517.5722,Amphibian
Ameerega bassleri,Ameerega,DENDROBATIDAE,0,17729.52854,Amphibian
Ameerega berohoka,Ameerega,DENDROBATIDAE,211.3399445,31547.17749,Amphibian
Ameerega bilinguis,Ameerega,DENDROBATIDAE,0,69393.41054,Amphibian
Ameerega boehmei,Ameerega,DENDROBATIDAE,30.69647162,2119.571901,Amphibian
Ameerega boliviana,Ameerega,DENDROBATIDAE,0,12764.906070000001,Amphibian
Ameerega braccata,Ameerega,DENDROBATIDAE,90067.39525,277724.8128,Amphibian
Ameerega cainarachi,Ameerega,DENDROBATIDAE,0,2256.921198,Amphibian
Ameerega flavopicta,Ameerega,DENDROBATIDAE,1043.097912,902086.8195,Amphibian
Ameerega hahneli,Ameerega,DENDROBATIDAE,213211.4569,3955793.283,Amphibian
Ameerega ignipedis,Ameerega,DENDROBATIDAE,0,197.0473808,Amphibian
Ameerega ingeri,Ameerega,DENDROBATIDAE,0,15.87049976,Amphibian
Ameerega macero,Ameerega,DENDROBATIDAE,621.4751555,81524.75901,Amphibian
Ameerega parvula,Ameerega,DENDROBATIDAE,15649.61311,192110.2535,Amphibian
Ameerega pepperi,Ameerega,DENDROBATIDAE,0,2962.193936,Amphibian
Ameerega petersi,Ameerega,DENDROBATIDAE,17943.05838,90703.54859,Amphibian
Ameerega picta,Ameerega,DENDROBATIDAE,463818.3328,2360362.935,Amphibian
Ameerega planipaleae,Ameerega,DENDROBATIDAE,0,79.12370323,Amphibian
Ameerega pongoensis,Ameerega,DENDROBATIDAE,0,10105.99575,Amphibian
Ameerega pulchripecta,Ameerega,DENDROBATIDAE,0,7021.820973,Amphibian
Ameerega rubriventris,Ameerega,DENDROBATIDAE,0,753.3002004,Amphibian
Ameerega shihuemoy,Ameerega,DENDROBATIDAE,0,1134.092881,Amphibian
Ameerega silverstonei,Ameerega,DENDROBATIDAE,0,2764.053694,Amphibian
Ameerega simulans,Ameerega,DENDROBATIDAE,6597.05487,20899.89163,Amphibian
Ameerega smaragdina,Ameerega,DENDROBATIDAE,0,14.40348733,Amphibian
Ameerega trivittata,Ameerega,DENDROBATIDAE,213522.1745,4331927.881,Amphibian
Ameerega yoshina,Ameerega,DENDROBATIDAE,0,753.5231825,Amphibian
Ameerega yungicola,Ameerega,DENDROBATIDAE,0,1375.893202,Amphibian
Amietia amieti,Amietia,PYXICEPHALIDAE,0,83.77485087,Amphibian
Amietia angolensis,Amietia,PYXICEPHALIDAE,18258.7679,343008.3928,Amphibian
Amietia chapini,Amietia,PYXICEPHALIDAE,9241.402265,40146.55396,Amphibian
Amietia delalandii,Amietia,PYXICEPHALIDAE,101049.9203,1731807.146,Amphibian
Amietia desaegeri,Amietia,PYXICEPHALIDAE,0.4765693,22398.9826,Amphibian
Amietia dracomontana,Amietia,PYXICEPHALIDAE,0,5224.002132,Amphibian
Amietia fuscigula,Amietia,PYXICEPHALIDAE,12069.98081,333749.2943,Amphibian
Amietia hymenopus,Amietia,PYXICEPHALIDAE,0,6280.448993,Amphibian
Amietia inyangae,Amietia,PYXICEPHALIDAE,0,591.9884446,Amphibian
Amietia johnstoni,Amietia,PYXICEPHALIDAE,0,482.5730682,Amphibian
Amietia lubrica,Amietia,PYXICEPHALIDAE,0,748.1815656,Amphibian
Amietia moyerorum,Amietia,PYXICEPHALIDAE,4116.579835,38664.06201,Amphibian
Amietia nutti,Amietia,PYXICEPHALIDAE,27449.5246,588918.2648,Amphibian
Amietia poyntoni,Amietia,PYXICEPHALIDAE,89121.32197,1018567.126,Amphibian
Amietia ruwenzorica,Amietia,PYXICEPHALIDAE,48.324355,4160.583034,Amphibian
Amietia tenuoplicata,Amietia,PYXICEPHALIDAE,0,6558.025846,Amphibian
Amietia vandijki,Amietia,PYXICEPHALIDAE,0,2931.142624,Amphibian
Amietia vertebralis,Amietia,PYXICEPHALIDAE,0,19409.43794,Amphibian
Amietia wittei,Amietia,PYXICEPHALIDAE,1.292941754,19491.80116,Amphibian
Amnirana albolabris,Amnirana,RANIDAE,326338.2917,3675812.367,Amphibian
Amnirana amnicola,Amnirana,RANIDAE,4989.327838,365010.1167,Amphibian
Amnirana asperrima,Amnirana,RANIDAE,0,10162.26199,Amphibian
Amnirana darlingi,Amnirana,RANIDAE,181406.9997,1392594.192,Amphibian
Amnirana fonensis,Amnirana,RANIDAE,0,82.17084303,Amphibian
Amnirana galamensis,Amnirana,RANIDAE,753526.5297,5151309.28,Amphibian
Amnirana lemairei,Amnirana,RANIDAE,59286.36571,600653.3236,Amphibian
