"","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","source","island","tax_comm","dist_comm","generalisd","legend","kingdom","phylum","class","order_","family","genus","category","marine","terrestial","freshwater","SHAPE_Leng","SHAPE_Area"
"4164",40525,"Antechinus minimus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Snake Island",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","DASYUROMORPHIA","DASYURIDAE","Antechinus","LC","false","true","false",0.599527343882,0.0045563584553
"4165",40525,"Antechinus minimus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Great Glennie Island",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","DASYUROMORPHIA","DASYURIDAE","Antechinus","LC","false","true","false",0.0703597632668,0.000162375389092
"4166",40525,"Antechinus minimus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Flinders Island",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","DASYUROMORPHIA","DASYURIDAE","Antechinus","LC","false","true","false",2.61498701674,0.144468505286
"4167",40525,"Antechinus minimus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"King Island",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","DASYUROMORPHIA","DASYURIDAE","Antechinus","LC","false","true","false",1.71618007496,0.114925147123
"4168",19617,"Rhipidomys venustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Rhipidomys","LC","false","true","false",5.81286023598,0.6924538444
"4169",41279,"Lepus coreanus",1,1,1,"IUCN",2018,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","LAGOMORPHA","LEPORIDAE","Lepus","LC","false","true","false",70.5904092351,22.547063518
"4170",40597,"Huetia leucorhina",1,1,1,"Gary Bronner",2015,"Gary Bronner; IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","AFROSORICIDA","CHRYSOCHLORIDAE","Huetia","DD","false","true","false",8.49716196921,0.859694863411
"4171",40597,"Huetia leucorhina",1,1,1,"IUCN",2015,"Gary Bronner; IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","AFROSORICIDA","CHRYSOCHLORIDAE","Huetia","DD","false","true","false",25.6808338501,22.2141698613
"4172",21792,"Thomasomys taczanowskii",1,1,1,"IUCN SSC Small Mammal Specialist Group",2018,"IUCN SSC Small Mammal Specialist Group",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Thomasomys","LC","false","true","false",22.1008923696,12.3359996253
"4173",19554,"Rhinolophus mitratus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","DD","false","true","false",0.323470840664,0.00832097497585
"4174",70610729,"Pithecia pissinattii",1,1,1,"IUCN",2018,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Pithecia","DD","false","true","false",21.2775755698,12.6100909572
"4175",3795,"Capra cylindricornis",1,1,1,"Stefan Michel",2020,"IUCN (International Union for Conservation of Nature)",NA,NA,"P. Weinberg, pers. comm. 2019",NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Capra","NT","false","true","false",17.2019195463,1.86641299116
"4176",3795,"Capra cylindricornis",3,1,1,"Stefan Michel",2020,"IUCN (International Union for Conservation of Nature)",NA,NA,"P. Weinberg, pers. comm. 2019",NA,"Intermediate with C. cyclindricornis",NA,0,"Possibly Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Capra","NT","false","true","false",4.92669300561,0.560369279363
"4177",3795,"Capra cylindricornis",3,1,1,"Stefan Michel",2020,"IUCN (International Union for Conservation of Nature)",NA,NA,"P. Weinberg, pers. comm. 2019",NA,"Intermediate with C. caucasica",NA,0,"Possibly Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Capra","NT","false","true","false",2.69852079476,0.0673593599895
"4178",2061,"Arctocephalus townsendi",1,1,1,"Heidi Ahonen and Anders Skoglund, NPI",2015,"David Aurioles",NA,NA,"David Aurioles",NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","OTARIIDAE","Arctocephalus","LC","true","true","false",116.53469194,117.719199575
"4179",6924,"Atelocynus microtis",1,1,1,"IUCN",2011,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","Atelocynus","NT","false","true","false",80.4347734096,233.196765279
"4180",136278,"Marmosops paulensis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","DIDELPHIMORPHIA","DIDELPHIDAE","Marmosops","LC","false","true","false",23.178383013,6.52424231691
"4181",136709,"Lepilemur tymerlachsoni",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE","Lepilemur","CR","false","true","false",0.520272381192,0.00441637077171
"4182",9997,"Heterohyrax brucei",1,1,1,"IUCN",2015,"IUCN (International Union for Conservation of Nature)","chapini",NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","HYRACOIDEA","PROCAVIIDAE","Heterohyrax","LC","false","true","false",0.369261202144,0.00970917988225
"4183",9997,"Heterohyrax brucei",1,1,1,"IUCN",2015,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","HYRACOIDEA","PROCAVIIDAE","Heterohyrax","LC","false","true","false",181.137600397,464.98592448
"4184",9997,"Heterohyrax brucei",1,1,1,"IUCN",2015,"IUCN (International Union for Conservation of Nature)","bocagei",NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","HYRACOIDEA","PROCAVIIDAE","Heterohyrax","LC","false","true","false",23.7901580503,27.1294857392
"4185",13846,"Mops petersoni",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MOLOSSIDAE","Mops","NT","false","true","false",7.81768324944,3.38282674148
"4186",3126,"Bubalus depressicornis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Buton",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Bubalus","EN","false","true","false",4.72896370622,0.27859656225
