FID,id_no,binomial,presence,origin,seasonal,compiler,yrcompiled,citation,subspecies,subpop,source,island,tax_comm,dist_comm,generalisd,legend,kingdom,phylum,class,order_,family,genus,category,marine,terrestial,freshwater,SHAPE_Leng,SHAPE_Area
4044,136003,Litoria myola,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELODRYADIDAE,Litoria,CR,false,true,true,0.072506754,0.000319525
4045,58712,Chalcorana scutigera,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Chalcorana,DD,false,false,true,0.08265561,0.000543655
4046,58987,Zhangixalus dennysi,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Zhangixalus,LC,false,true,true,100.2933539,91.96102336
4047,56750,Pristimantis medemi,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,LC,false,true,true,4.593093671,0.305497161
4048,57083,Hydrolaetare dantasi,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Hydrolaetare,LC,false,true,true,19.47229146,11.32999025
4049,58694,Pulchrana picturata,1,1,1,Kelsey Neam,2017,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pulchrana,LC,false,true,true,169.3038577,76.92212636
4050,58694,Pulchrana picturata,1,1,1,IUCN,2017,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pulchrana,LC,false,true,true,2.148747314,0.132571266
4051,54759,Duttaphrynus silentvalleyensis,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Duttaphrynus,DD,false,true,false,0.214854676,0.003673404
4052,58480,Cornufer schmidti,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CERATOBATRACHIDAE,Cornufer,LC,false,true,false,26.15280465,3.454985051
4053,54887,Mertensophryne anotis,1,1,1,"Werner Conradie, Krytal Tolley, Harith Farooq",2020,IUCN (International Union for Conservation of Nature) and Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Mertensophryne,LC,false,true,false,10.39006798,1.259501981
