OBJECTID,id_no,binomial,orig_area_km2
226,136211,Aotus jorgehernandezi,1186.23987104354
227,1808,Aotus lemurinus,177190.3625960745
228,1802,Aotus miconax,27618.546103316679
229,41540,Aotus nancymaae,509595.61950598692
230,41542,Aotus nigriceps,1569870.815893373
231,41543,Aotus trivirgatus,752040.333678814
232,41544,Aotus vociferans,1054311.4407399059
233,39953,Aotus zonalis,131879.37397912209
234,1869,Aplodontia rufa,245492.80902232241
235,1888,Apodemus agrarius,11531280.8650591
236,1907,Apodemus alpicola,110807.9720836843
237,42642,Apodemus argenteus,366528.08880581352
238,45953906,Apodemus avicennicus,311.62676047562098
239,1890,Apodemus chevrieri,720378.08758115408
240,1891,Apodemus draco,1798388.0333212609
241,136816,Apodemus epimelas,174083.65515379771
242,1892,Apodemus flavicollis,6066212.6074437136
243,1894,Apodemus gurkha,12707.059498969709
244,1896,Apodemus hyrcanicus,48647.150034613856
245,1897,Apodemus latronum,536541.58257158205
246,1898,Apodemus mystacinus,804426.78841558308
247,1906,Apodemus pallipes,783216.8451617891
248,1899,Apodemus peninsulae,8903703.1999584194
249,1900,Apodemus ponticus,347709.03301245341
250,1901,Apodemus rusiges,112770.44935139061
251,1902,Apodemus semotus,33914.891926725482
252,1903,Apodemus speciosus,368742.87358557357
253,1904,Apodemus sylvaticus,5002014.0566777252
254,1905,Apodemus uralensis,7231854.2484931815
255,135724,Apodemus witherbyi,1581697.0301113999
256,42643,Apomys abrae,12463.7175125183
257,45953968,Apomys aurorae,1386.237778839238
258,45953973,Apomys banahao,61.472297117177213
259,45953976,Apomys brownorum,14.43034226734283
260,136362,Apomys camiguinensis,73.715522208736516
261,1910,Apomys datae,11591.282943615901
262,1917,Apomys gracilirostris,571.33982960870526
263,1911,Apomys hylocetes,4399.2812893304717
264,1912,Apomys insignis,94959.734554707713
265,112139458,Apomys iridensis,2152.6386963182672
266,1913,Apomys littoralis,7898.7582979411518
267,112139517,Apomys lubangensis,246.5596042470595
268,45953979,Apomys magnus,112.93799792345879
269,1914,Apomys microdon,61955.850669689593
270,45953991,Apomys minganensis,1108.01646393288
271,1915,Apomys musculus,47773.897524240238
272,1916,Apomys sacobianus,951.47964296742464
273,45954010,Apomys sierrae,9654.124757760017
274,45954013,Apomys zambalensis,3634.3178819873779
275,1933,Aproteles bulmerae,48.155604553183537
276,9918,Arabitragus jayakari,28012.143222728311
277,2017,Arborimus albipes,77761.758294879051
278,42615,Arborimus longicaudus,54111.247533675058
279,2018,Arborimus pomo,22003.1629651072
280,2045,Archboldomys luzonensis,22.211257370170681
281,45954066,Archboldomys maximus,34.657649797943321
282,41690,Arctictis binturong,3049822.7925592959
283,2053,Arctocebus aureus,667480.6946894367
284,2054,Arctocebus calabarensis,148435.3787948793
285,2055,Arctocephalus australis,1900107.6529733129
286,41664,Arctocephalus forsteri,11578853.501223071
287,2057,Arctocephalus galapagoensis,106236.1848032665
288,2058,Arctocephalus gazella,17528906.099554311
289,2059,Arctocephalus philippii,3809717.3567815688
290,2060,Arctocephalus pusillus,1100667.600900362
291,2061,Arctocephalus townsendi,1298452.8864478499
292,2062,Arctocephalus tropicalis,13411060.181328019
293,41691,Arctogalidia trivirgata,2539661.1421889309
294,70206273,Arctonyx albogularis,4209207.9465972288
295,70205537,Arctonyx collaris,1878331.4987117201
296,70205771,Arctonyx hoevenii,98102.839668962217
297,2089,Ardops nichollsi,4742.7077234777253
298,41534,Arielulus circumdatus,170861.4781246132
299,40775,Arielulus cuprosus,2630.0044312168361
300,40776,Arielulus societatis,92389.267395306655
301,40032,Arielulus torquatus,23910.696250560461
302,2110,Ariteus flavescens,11021.00862614367
303,88109970,Artibeus aequatorialis,216981.01868872001
304,2121,Artibeus amplus,1459809.2830802719
305,2125,Artibeus concolor,6437511.3110953448
306,2126,Artibeus fimbriatus,1483910.055881504
307,2127,Artibeus fraterculus,302098.64794279658
308,2131,Artibeus hirsutus,228807.5635723529
309,2132,Artibeus inopinatus,41133.134376531452
310,88109731,Artibeus jamaicensis,1559682.21737225
311,2136,Artibeus lituratus,14234756.37010695
312,2137,Artibeus obscurus,11122582.97947068
313,2139,Artibeus planirostris,7905573.3775893757
314,88109897,Artibeus schwartzi,8285.9080862383962
315,2144,Arvicanthis abyssinicus,296089.06800926721
316,44991,Arvicanthis ansorgei,651228.90343077155
317,2145,Arvicanthis blicki,17893.738975463511
318,2146,Arvicanthis nairobae,151138.7967773414
319,2148,Arvicanthis neumanni,1218456.0446088591
320,2147,Arvicanthis niloticus,6182777.7736653136
321,44992,Arvicanthis rufinus,1154397.598936724
322,2149,Arvicola amphibius,15744507.378924711
323,2150,Arvicola sapidus,882585.60042198398
324,136766,Arvicola scherman,831164.1067672791
325,80221456,Asellia italosomalica,264772.50806638913
326,2153,Asellia patrizii,227343.61525603899
327,80221529,Asellia tridens,16924961.03324214
328,2155,Aselliscus stoliczkanus,1362306.882958259
329,2156,Aselliscus tricuspidatus,274648.37101824151
330,40602,Atelerix albiventris,7028230.208587328
331,27926,Atelerix algirus,734611.93453082349
332,2274,Atelerix frontalis,1047867.558709097
333,2275,Atelerix sclateri,309002.56338817568
334,2276,Ateles belzebuth,815679.06741801312
335,41547,Ateles chamek,2602918.8852162948
336,135446,Ateles fusciceps,212235.79316569539
337,2279,Ateles geoffroyi,901717.6785746566
338,39961,Ateles hybridus,165735.8779553076
339,2282,Ateles marginatus,524096.11746933009
340,2283,Ateles paniscus,918123.2213996402
341,6924,Atelocynus microtis,2852869.850768141
342,2353,Atherurus africanus,3544210.0287213912
343,2354,Atherurus macrourus,2671848.7383271712
344,41590,Atilax paludinosus,14049174.34674287
345,2358,Atlantoxerus getulus,303758.90564718732
346,20320,Atopogale cubana,1996.736488430347
