OBJECTID,id_no,binomial,Shape_Length,Shape_Area,original_area_km2
210,25954,Melanophryniscus moreirae,0.717679012,0.040986384,467.7656034
211,26156,Nyctixalus spinosus,14.47630834,1.039189413,12654.06239
212,26210,Aphantophryne nana,0.479811497,0.008363864,101.6700762
213,26438,Philautus leitensis,13.28125323,0.81518289,9936.113717
214,26459,Philautus schmackeri,2.543986416,0.109058767,1308.132803
215,29408,Osteocephalus oophagus,54.99948228,72.57894934,892717.8659
216,29415,Boana palaestes,1.315102404,0.044451583,534.2876871
217,29417,Atelognathus ceii,0.377226088,0.011323549,99.76724837
218,29419,Hylarana chitwanensis,11.16185769,1.9746247,21699.46721
219,29425,Ischnocnema paranaensis,0.146573057,0.001709572,19.08286558
220,29426,Nototriton brodiei,0.622704954,0.007907333,93.8968141
221,29430,Dendropsophus amicorum,0.133398005,0.000649288,7.862467878
222,29431,Xenohyla eugenioi,6.612572765,1.380148744,16435.67188
223,29432,Ameerega planipaleae,0.377286779,0.006537152,79.12370323
224,29433,Boophis lichenoides,22.38302136,4.963110274,57646.82197
225,29435,Amolops cremnobatus,174.4099614,10.46855941,121959.7308
226,29442,Physalaemus maximus,2.550830832,0.138939175,1605.518092
227,29450,Platymantis pygmaeus,16.41829782,1.375242559,16210.04457
228,29451,Platymantis naomii,0.388902485,0.009818352,117.3245275
229,29470,Eleutherodactylus tonyi,0.25034662,0.001662422,19.26853844
230,29471,Eleutherodactylus casparii,1.205778193,0.066228951,757.9240511
231,29472,Eleutherodactylus goini,3.198297769,0.457041167,5204.519774
232,29487,Brachycephalus hermogenesi,10.56019574,2.133402511,24083.90794
233,29488,Plethodon ainsworthi,0.028373598,6.40631E-05,0.671626134
234,29588,Pelophryne albotaeniata,2.731912832,0.133218894,1617.521008
235,29591,Platymantis isarog,0.917887069,0.024359703,291.7241368
236,39262,Eurycea rathbuni,0.306664516,0.005294825,56.69197327
237,39263,Eurycea robusta,0.145677271,0.00168874,18.07814716
238,39419,Onychodactylus fischeri,81.80868772,36.86023544,341734.0346
239,39420,Triturus karelinii,130.7923459,48.03196362,448092.4804
240,39421,Bufo verrucosissimus,39.11005241,5.699669164,53394.17429
241,39422,Pelodytes caucasicus,21.75530025,2.506053149,22895.83144
242,40785,Alsodes tumultuosus,0.318671915,0.005000203,51.67997224
243,40798,Philautus poecilius,6.080100538,0.443022866,5393.546238
244,40799,Limnonectes diuatus,3.460269768,0.382773747,4655.127479
245,41028,Litoria andiirrmalin,3.851444884,0.476481263,5677.863458
246,41029,Litoria booroolongensis,19.07631057,12.97779089,135579.6355
247,41031,Litoria cavernicola,2.434025247,0.305606957,3630.976237
248,41032,Litoria cooloolensis,5.08998907,0.218459599,2429.285797
249,41033,Litoria freycineti,50.08609639,5.52560685,58515.03146
250,41034,Litoria genimaculata,276.928973,21.6623083,264605.4001
251,41035,Litoria jervisiensis,23.04234929,2.87036238,29112.0537
252,41036,Litoria littlejohni,40.17531491,8.248850877,84213.05206
253,41037,Litoria olongburensis,16.95389863,0.75852991,8325.467966
254,41038,Litoria subglandulosa,6.65915608,1.535342547,16460.28794
255,41039,Cophixalus mcdonaldi,0.60994748,0.02959558,343.8868279
256,41040,Cophixalus neglectus,0.84344986,0.047627691,560.289716
257,41041,Cophixalus saxatilis,0.520049347,0.020839769,247.2127528
258,41042,Cophixalus peninsularis,1.117982266,0.083470047,998.4157849
259,41043,Cophixalus zweifeli,2.398837424,0.299661847,3573.267001
260,41044,Crinia sloanei,14.02633389,10.62375346,108301.0847
261,41045,Crinia tinnula,46.64976549,2.784236048,30145.87663
262,41046,Heleioporus australiacus,38.18513978,8.214255615,82096.62072
263,41047,Notaden weigeli,4.008271274,0.835409606,9845.194698
264,41048,Pseudophryne covacevichae,0.702944089,0.03213858,377.5769226
265,41049,Pseudophryne douglasi,15.12055366,6.68272774,76234.24972
266,41050,Pseudophryne pengilleyi,3.001397382,0.110164726,1109.640113
267,41051,Pseudophryne semimarmorata,55.18921576,11.3049129,108734.8371
268,41052,Spicospina flammocaerulea,0.938315512,0.050083323,507.5939882
269,41053,Uperoleia arenicola,2.761159565,0.602115923,7229.99077
270,41054,Uperoleia aspera,9.730504729,1.742274583,20493.13633
271,41055,Uperoleia borealis,12.95582723,3.092044577,36675.26818
272,41056,Uperoleia crassa,33.4203725,5.462784337,64770.37519
273,41057,Uperoleia martini,11.64494389,1.160800158,11327.95937
274,41058,Uperoleia micromeles,8.520983605,4.020181335,46789.527
275,41059,Uperoleia minima,23.04848377,9.328247609,110396.1561
276,41060,Uperoleia mjobergii,8.350073464,3.269137376,38267.52033
277,41061,Uperoleia talpa,13.06691863,4.219589987,49532.98946
278,41062,Uperoleia trachyderma,28.35439568,20.46885896,240360.3825
279,41063,Uperoleia tyleri,39.49078046,8.117164866,82333.59189
280,41065,Rhinella marina,929.8471786,938.7247679,11328991.54
281,41066,Litoria alboguttata,106.8451535,109.4703366,1247422.171
282,41067,Litoria australis,151.1215687,97.12174576,1144728.406
283,41068,Litoria brevipes,62.57460714,76.58964431,850665.2843
284,41069,Litoria cryptotis,47.19150403,32.71737774,385568.719
285,41070,Litoria cultripes,28.33938771,34.32172862,400534.235
286,41071,Litoria longipes,184.8947376,112.5958763,1328523.327
287,41072,Litoria maculosa,25.00382017,47.95978563,555786.348
288,41073,Litoria maini,79.46662493,140.4759464,1572825.005
289,41074,Litoria manya,11.3175651,3.971609506,47465.86511
290,41075,Litoria novaehollandiae,94.45862745,140.7404187,1593763.285
291,41076,Cyclorana platycephala,84.7010062,146.8363348,1595482.928
292,41077,Litoria vagitus,15.89045918,3.693190653,43660.27617
293,41078,Litoria verrucosa,25.69859577,36.54688839,391267.2991
294,41079,Litoria adelaidensis,35.36159291,11.90325352,123339.3051
295,41080,Litoria bicolor,187.8542359,78.57603751,932234.357
296,41081,Litoria burrowsi,12.73848968,2.515303724,23016.20513
297,41082,Litoria caerulea,256.1038615,361.0107324,4098387.967
298,41083,Litoria chloris,64.83840598,19.40104169,212835.7656
299,41084,Litoria citropa,33.04151861,6.297337307,63423.72459
300,41085,Litoria coplandi,90.33694498,54.36857631,641790.819
301,41086,Litoria cyclorhyncha,15.43314223,7.886400578,81515.45406
302,41087,Litoria dahlii,95.77786459,25.96147347,309116.6187
303,41088,Litoria electrica,11.7103448,9.018096636,104457.137
304,41089,Litoria eucnemis,52.06572396,33.74112503,413263.1034
305,41090,Litoria ewingii,161.1301171,50.73074133,480783.5429
306,41091,Litoria fallax,99.63056503,51.82940652,575635.0955
307,41092,Litoria gilleni,2.936851387,0.678062263,7618.168657
308,41093,Litoria gracilenta,79.73506614,27.80838629,318075.4813
309,41094,Litoria inermis,204.0619171,150.5444904,1750721.843
310,41095,Nyctimystes infrafrenatus,587.748044,65.98653428,804660.4505
311,41096,Litoria latopalmata,97.20750623,139.6329637,1538412.526
312,41097,Litoria longirostris,2.78905699,0.591680845,7069.82532
313,41098,Litoria meiriana,75.819584,27.86442417,331651.6364
314,41099,Litoria microbelos,102.1622666,31.48722454,374886.2934
315,41100,Litoria moorei,23.25364339,10.47209549,109331.3516
316,41101,Litoria nasuta,296.3588269,95.58593899,1121465.246
317,41102,Litoria nigrofrenata,43.55315294,13.73045374,164117.8959
318,41103,Litoria pallida,157.4554758,75.80051102,899070.2125
319,41104,Litoria paraewingi,7.067941314,2.317236426,23028.54584
320,41105,Litoria peronii,97.31575375,96.49809664,1025904.049
321,41106,Litoria personata,3.824891064,1.161453783,13943.14244
322,41107,Litoria phyllochroa,39.33937092,9.643770044,102107.3617
323,41108,Litoria revelata,55.41073539,16.53394983,187733.0927
324,41109,Litoria rothii,210.6000221,110.4250133,1298614.639
325,41110,Litoria rubella,282.8135723,419.809673,4764586.511
326,41111,Litoria splendida,46.74817869,10.62973407,126174.7907
327,41112,Litoria tornieri,117.0216095,48.10226715,571792.9272
328,41113,Litoria tyleri,0.214699879,0.003668113,44.7307066
329,41115,Litoria watjulumensis,114.3232747,51.87143149,616306.1828
330,41116,Litoria xanthomera,11.06835816,1.660674799,19511.26761
331,41117,Cophixalus bombiens,1.339705134,0.041351056,489.502328
332,41118,Cophixalus concinnus,0.160802269,0.001185562,14.03198251
333,41119,Cophixalus crepitans,1.19030282,0.093849751,1122.948867
334,41120,Cophixalus exiguus,0.310577732,0.006022443,71.42393353
335,41121,Cophixalus hosmeri,0.658984312,0.029376854,347.0829441
336,41122,Cophixalus infacetus,5.555380825,0.698903175,8205.28047
337,41123,Cophixalus ornatus,10.30814198,1.254809556,14724.83585
338,41129,Arenophryne rotunda,9.502995729,0.343996633,3792.685333
339,41130,Assa darlingtoni,9.669128112,3.320846086,35991.04368
340,41132,Crinia bilingua,61.44826667,18.85363932,224172.1723
341,41133,Crinia deserticola,59.58128415,89.29358035,1015774.836
342,41134,Crinia georgiana,24.49486406,5.063289159,51987.68024
343,41135,Crinia glauerti,18.28466896,2.43832713,25042.67506
344,41136,Crinia insignifera,9.925940465,0.568944477,5975.761439
345,41137,Crinia parinsignifera,61.41262279,65.44796266,685913.7797
346,41138,Crinia pseudinsignifera,8.829591949,0.917391731,9627.387973
347,41139,Crinia remota,108.454317,45.30354462,537868.5466
348,41140,Crinia riparia,10.19511207,5.383986162,56695.04822
349,41141,Crinia signifera,155.5513179,85.72513618,877723.876
350,41142,Crinia subinsignifera,19.23502055,2.373869658,24272.98299
351,41143,Crinia tasmaniensis,35.1755982,6.087323005,56008.15235
352,41144,Geocrinia laevis,27.28985751,8.016644505,77330.83339
353,41145,Geocrinia leai,16.97923922,3.159158044,32299.06781
354,41146,Geocrinia lutea,0.641394288,0.020835901,211.1594011
355,41147,Geocrinia rosea,2.155275634,0.220891656,2251.419638
356,41148,Geocrinia victoriana,29.04313713,11.72674267,115134.4382
357,41149,Heleioporus barycragus,2.951369037,0.46083344,4791.099891
358,41150,Heleioporus eyrei,35.02548128,7.697101896,79664.13214
359,41151,Heleioporus inornatus,10.43997552,2.173173083,22371.91587
360,41152,Heleioporus psammophilus,20.82442939,4.011069443,41223.49475
361,41156,Limnodynastes convexiusculus,179.3036785,55.31848371,658664.0292
362,41157,Limnodynastes depressus,20.66318178,5.233964679,62292.69082
363,41158,Limnodynastes dorsalis,35.53304776,31.05519046,324636.4715
364,41159,Limnodynastes dumerilii,144.4964584,69.34414245,706935.4851
365,41160,Limnodynastes fletcheri,60.49548716,124.6452338,1343876.537
366,41161,Limnodynastes interioris,17.93277831,21.71222797,222877.3054
367,41162,Platyplectrum ornatum,240.4633433,194.3410558,2237632.683
368,41163,Limnodynastes peronii,146.7688539,62.1163281,662425.1691
369,41164,Limnodynastes salmini,58.268601,56.15335317,603526.0131
370,41165,Platyplectrum spenceri,71.36816119,136.6251267,1521892.463
371,41166,Limnodynastes tasmaniensis,170.596156,227.4751023,2428198.048
372,41167,Limnodynastes terraereginae,100.774777,52.90596556,594049.7545
373,41169,Metacrinia nichollsi,14.61687396,4.597660413,47009.05825
374,41170,Mixophyes schevilli,4.919484881,0.461478473,5443.719977
375,41171,Myobatrachus gouldii,23.71967256,10.56212185,110026.0773
376,41172,Neobatrachus albipes,18.88411288,11.32211096,117205.97
377,41173,Neobatrachus aquilonius,37.61908943,37.55808592,435920.5467
378,41174,Neobatrachus centralis,28.5068877,49.7913206,544095.1737
379,41175,Neobatrachus fulvus,10.04428757,1.700561986,19170.26981
380,41176,Neobatrachus kunapalari,22.13130575,25.93190211,274278.858
381,41177,Neobatrachus pelobatoides,30.0275783,29.80660864,312852.9411
382,41178,Neobatrachus pictus,45.47249411,30.37488093,310141.9422
383,41179,Neobatrachus sudelli,54.57320765,94.69233503,986779.802
384,41180,Neobatrachus sutor,57.5501606,129.6333732,1429223.345
385,41181,Neobatrachus wilsmorei,37.18053016,45.64044936,503659.6588
386,41182,Notaden bennettii,43.82056866,100.9556817,1102231.776
387,41183,Notaden melanoscaphus,113.8328688,64.63681726,767712.8103
388,41184,Notaden nichollsi,80.96153151,159.4224382,1805012.594
389,41185,Paracrinia haswelli,53.97899077,9.52630189,96043.70611
390,41186,Pseudophryne coriacea,14.1148685,5.374816576,57557.8865
391,41187,Pseudophryne dendyi,17.29981354,6.722670624,66435.07806
392,41188,Pseudophryne guentheri,38.10196953,23.04816031,241235.2748
393,41189,Pseudophryne major,32.1501913,11.44636609,126571.9586
394,41190,Pseudophryne occidentalis,46.52269569,58.81734141,632909.2462
395,41191,Uperoleia altissima,3.139119065,0.34341316,4044.6677
396,41192,Uperoleia capitulata,22.27001816,29.81014384,324619.3602
397,41193,Uperoleia fusca,76.12924251,21.98877437,239921.7313
398,41194,Uperoleia glandulosa,3.868772484,0.968129439,11127.51179
399,41195,Uperoleia inundata,60.38154468,13.6981879,163492.4376
400,41196,Uperoleia laevigata,69.15443998,41.93001673,442047.8948
401,41197,Uperoleia lithomoda,141.8408871,55.71849322,661040.5604
402,41198,Uperoleia littlejohni,16.08158347,10.60569294,122416.6903
403,41199,Uperoleia mimula,34.37233551,11.41786455,135474.064
404,41200,Uperoleia rugosa,65.78155154,88.84683804,961541.7943
405,41201,Uperoleia russelli,27.18251974,22.78537163,260413.3851
406,41202,Papurana daemeli,175.2417878,54.35501518,660489.8208
407,41225,Occidozyga diminutiva,5.121072354,0.356666505,4355.895291
408,41226,Alcalus mariae,0.944756286,0.064792092,788.2559866
409,41231,Limnonectes leytensis,69.70033567,11.84098598,144027.5608
410,41232,Limnonectes visayanus,8.514659262,0.482458155,5846.22143
411,41233,Limnonectes parvus,7.659337903,0.520547412,6349.284649
412,41234,Limnonectes woodworthi,25.61961044,2.180070088,25845.17252
