OBJECTID,id_no,binomial,orig_area_km2,final_area_km2
361,4075,Cebus cuscinus,208870.02630531049,10214.627508840509
362,4076,Cebus yuracus,480003.14918781869,86422.148408197609
363,4081,Cebus aequatorialis,68527.025072778561,7225.8069372425207
364,4082,Cebus cesarae,42873.318765452597,12960.63349965928
365,4084,Cebus malitiosus,3200.7261084160482,674.38730996851314
366,4112,Centronycteris maximiliani,5647035.0221470082,195945.93163443069
367,4133,Centurio senex,2085276.3621748181,480728.27461044799
368,4137,Cephalophus adersi,5035.2097068177991,3207.7383913485542
369,4138,Cephalophus callipygus,745834.23290206527,66283.973651592183
370,4139,Cephalophus dorsalis,3572483.6508252211,204670.33321819501
371,4141,Cephalophus leucogaster,1031855.554941178,66257.741563407835
372,4142,Philantomba maxwellii,872140.87962158956,27217.63293358119
373,4143,Philantomba monticola,6383699.242255819,621511.13164214999
374,4144,Cephalophus natalensis,897296.73542006745,183432.23785069861
375,4145,Cephalophus niger,761605.88789378444,59231.383620373541
376,4146,Cephalophus nigrifrons,3193026.3812800809,193882.35783864179
377,4148,Cephalophus ogilbyi,504342.45933021168,11525.940579089431
378,4149,Cephalophus rufilatus,2928863.1957553769,116718.9996050628
379,4150,Cephalophus silvicultor,6162529.7776936898,462495.72009305801
380,4152,Cephalophus weynsi,1484339.620414773,130203.38184779169
381,4154,Cephalophus harveyi,354883.29658431181,44097.083373275163
382,4159,Cephalorhynchus commersonii,369023.51262784167,333640.4251674863
383,4160,Cephalorhynchus eutropia,302120.97881461831,281039.57890359632
384,4161,Cephalorhynchus heavisidii,144960.28248131499,144657.76459118369
385,4162,Cephalorhynchus hectori,96455.128653136839,95517.550595300156
386,4185,Ceratotherium simum,12627061.55150499,2437139.4867910361
387,4192,Cercartetus caudatus,308470.01578471699,4395.5815742085106
388,4200,Cercocebus galeritus,214.5341499214241,214.5341499214241
389,4201,Cercocebus torquatus,263783.98053098959,61179.592482149877
390,4206,Cercocebus lunulatus,164395.350868826,2973.7784789534649
391,4207,Cercocebus chrysogaster,78979.466136279007,14784.94499095943
392,4212,Cercopithecus ascanius,2619555.3597841021,125668.56169977129
393,4214,Cercopithecus cephus,835771.83079301449,67211.636362520294
394,4217,Cercopithecus erythrogaster,73795.346099428498,44887.181230019232
395,4218,Cercopithecus erythrotis,54822.249839033808,733.94293251467661
396,4220,Allochrocebus lhoesti,216020.17148116321,1021.037417294079
397,4221,Cercopithecus mitis,2345563.9746039109,241790.99120379161
398,4222,Cercopithecus mona,649961.15360200335,78086.200445483773
399,4223,Cercopithecus neglectus,2289653.9298485648,170525.78404280439
400,4224,Cercopithecus nictitans,1347309.3040242719,137389.74944715109
401,4225,Cercopithecus petaurista,552868.72936657106,15310.617983950449
402,4227,Allochrocebus preussi,17526.765473392192,13.30864664373261
403,4229,Cercopithecus sclateri,34781.641442230793,16840.960807361858
404,4232,Cercopithecus roloway,132063.6624447614,2966.1759538083602
405,4233,Chlorocebus aethiops,1146158.0521581711,110019.4168106906
406,4245,Cercopithecus diana,221565.86673530171,6314.2297154766966
407,4248,Cerdocyon thous,8433403.3251461182,2015432.5400597979
408,4256,Cervus albirostris,747273.86418793467,54316.169824250683
409,4257,Rucervus duvaucelii,34622.98799964846,28824.015011107309
410,4261,Cervus hanglu,47606.37185599954,33030.895346041907
411,4265,Rucervus eldii,84181.279403260647,9118.7245999609022
412,4274,Rusa marianna,112256.4707280591,931.68153429451831
413,4305,Chaerephon aloysiisabaudiae,1116979.851838226,103233.5049095837
414,4306,Chaerephon ansorgei,5630172.3702863781,937655.13255740935
415,4307,Chaerephon bemmeleni,671127.03010201897,136054.88529352369
416,4308,Chaerephon bivittatus,1892530.13500158,267907.92307706323
417,4309,Chaerephon bregullae,20613.224737557099,427.13721086858999
418,4310,Chaerephon chapini,4295240.9295754563,672423.52117279288
419,4312,Chaerephon jobensis,2339187.9870602372,628103.52470760152
420,4313,Chaerephon johorensis,91529.941070066401,6265.7395142997348
421,4314,Chaerephon major,1759012.5626850461,232055.30055337871
422,4315,Chaerephon nigeriae,4801548.524610321,588872.25896663393
423,4316,Chaerephon plicatus,2462213.1550221238,471128.1715855152
424,4319,Chaerephon russatus,431270.08182145079,13566.6990394231
425,4320,Chaerephon solomonis,7070.416481421008,243.40479446602771
426,4327,Chaetodipus artus,89254.782986862207,18066.81726546909
427,4328,Chaetodipus baileyi,283191.32373582642,93367.093946677327
428,4329,Chaetodipus californicus,106981.2643435912,8029.5607753431404
429,4330,Chaetodipus fallax,46888.378395159678,2596.5171611218511
430,4331,Chaetodipus formosus,322099.29133621312,162742.48051001329
431,4332,Chaetodipus goldmani,83505.149422983101,15817.610678399909
432,4333,Chaetodipus hispidus,2300232.6870883969,276263.92374448758
433,4334,Chaetodipus intermedius,510463.91620082181,129513.8598151734
434,4335,Chaetodipus nelsoni,564416.21194106108,94465.013883479085
435,4336,Chaetodipus penicillatus,395580.06963977899,144045.82595514611
436,4337,Chaetodipus pernix,99053.043268458961,24827.0955573479
437,4338,Chaetodipus spinatus,125757.1255771805,23244.37663312328
438,4366,Chaetomys subspinosus,127324.1027250592,4953.2585567069391
439,4369,Chaetophractus villosus,2550965.0479055569,1534986.8473555651
440,4414,Chalinolobus dwyeri,540244.94362550729,91383.355907668112
441,4417,Chalinolobus gouldii,7369440.2260573646,2359962.9354968648
