OBJECTID,FID_modeled_reptiles,Binomial,Group,Area (km2)
169,245,Agama lebretoni,lizard,3268.065589
170,246,Agama lionotus,lizard,221424.9696
171,248,Agama makarikarika,lizard,5841.823741
172,249,Agama montana,lizard,1168.967116
173,250,Agama mossambica,lizard,69548.0567
174,251,Agama mucosoensis,lizard,24.29040409
175,252,Agama mwanzae,lizard,71603.90147
176,253,Agama parafricana,lizard,7328.418871
177,254,Agama paragama,lizard,358340.2432
178,255,Agama persimilis,lizard,11163.75584
179,256,Agama planiceps,lizard,56940.78772
180,257,Agama robecchii,lizard,48723.81856
181,258,Agama rueppelli,lizard,134347.1971
182,259,Agama sankaranica,lizard,83228.4714
183,261,Agama spinosa,lizard,216231.8205
184,262,Agama sylvana,lizard,66504.56032
185,263,Agama tassiliensis,lizard,160616.9943
186,264,Agama turuensis,lizard,333.0842529
187,265,Agama weidholzi,lizard,30188.27752
188,266,Agamodon anguliceps,worm lizard,80489.90283
189,267,Agamodon arabicus,worm lizard,2204.578128
190,268,Agamodon compressus,worm lizard,15912.36727
191,269,Agkistrodon bilineatus,snake,9830.85632
192,270,Agkistrodon contortrix,snake,155578.919
193,271,Agkistrodon howardgloydi,snake,4841.036248
194,272,Agkistrodon piscivorus,snake,238656.4326
195,273,Agkistrodon russeolus,snake,7929.399123
196,274,Agkistrodon taylori,snake,13386.12373
197,276,Ahaetulla fasciolata,snake,216879.4682
198,277,Ahaetulla fronticincta,snake,50730.2555
199,278,Ahaetulla mycterizans,snake,47045.2869
200,279,Ahaetulla nasuta,snake,597513.7742
201,281,Ahaetulla prasina,snake,807876.6359
202,282,Ahaetulla pulverulenta,snake,6575.151795
203,283,Ailuronyx seychellensis,lizard,23.97524118
204,284,Ailuronyx tachyscopaeus,lizard,21.10308599
205,285,Ailuronyx trachygaster,lizard,10.66151843
206,287,Alexandresaurus camacan,lizard,1640.37884
207,288,Algyroides fitzingeri,lizard,839.2093339
208,290,Algyroides moreoticus,lizard,500.8708446
209,291,Algyroides nigropunctatus,lizard,4287.904771
210,292,Alinea berengerae,lizard,13.37061888
211,294,Alinea luciae,lizard,16.75922991
212,295,Alinea pergravis,lizard,3.302919464
213,296,Alligator mississippiensis,croc,172400.4594
214,297,Alligator sinensis,croc,62356.13209
215,298,Alluaudina bellyi,snake,1501.591727
216,299,Alluaudina mocquardi,snake,2.670473067
217,300,Alopoglossus angulatus,lizard,494285.0264
218,301,Alopoglossus atriventris,lizard,95748.83505
219,302,Alopoglossus buckleyi,lizard,107808.1388
220,303,Alopoglossus copii,lizard,1045.17227
221,304,Alopoglossus festae,lizard,9028.274622
222,305,Alopoglossus lehmanni,lizard,0.42909633
223,308,Alsophis antillensis,snake,43.29494407
224,310,Alsophis manselli,snake,21.52751016
225,312,Alsophis rufiventris,snake,29.38830805
226,316,Alsophylax przewalskii,lizard,618529.6717
227,317,Alsophylax tadjikiensis,lizard,3174.531547
228,319,Altiphylax levitoni,lizard,8.046303583
229,321,Altiphylax stoliczkai,lizard,57284.66496
230,322,Altiphylax tokobajevi,lizard,1870.57391
231,323,Altiphylax yarkandensis,lizard,19.99256137
232,324,Amalosia jacovae,lizard,2079.764796
233,325,Amalosia lesueurii,lizard,16344.85082
234,326,Amalosia obscura,lizard,61.32659004
235,327,Amalosia rhombifer,lizard,392553.7266
236,328,Amapasaurus tetradactylus,lizard,20296.42859
237,329,Amastridium sapperi,snake,2419.717294
238,330,Amastridium veliferum,snake,1276.112573
239,331,Amblyodipsas concolor,snake,3025.269458
240,332,Amblyodipsas dimidiata,snake,671.7689998
241,333,Amblyodipsas katangensis,snake,24034.69524
242,334,Amblyodipsas microphthalma,snake,41457.96861
243,335,Amblyodipsas polylepis,snake,547931.9212
244,336,Amblyodipsas rodhaini,snake,3721.974804
245,338,Amblyodipsas unicolor,snake,471338.6986
246,339,Amblyodipsas ventrimaculata,snake,114915.8446
247,342,Ameiva ameiva,lizard,1794573.464
248,343,Ameiva atrata,lizard,0.41289466
249,344,Ameiva atrigularis,lizard,1200.642444
250,345,Ameiva auberi,lizard,56540.84581
251,346,Ameiva bifrontata,lizard,394995.5767
